provincia,localidad,direccion,margen,horario,latitud,longitud,empresa,precios,fechaRevision,fechaUltima,ventaPublico
BARCELONA,SANTA COLOMA DE GRAMENET,"CALLE MOZART, 24",N,L-V: 08:00-16:00,41.454222,2.217333,CEPSA,"['SP-95 1,809', 'G-A 1,889', 'G-A+ 1,969']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA COLOMA DE GRAMENET,"AVENIDA FRANCESC MACIA, 226",Derecho,L-D: 24H,41.458667,2.195889,VILACARBURANTS,"['SP-95 1,799', 'SP-98 1,958', 'G-A 1,899', 'G-A+ 1,959']",18/11/2022,09/11/2022,Venta al Público
BARCELONA,SANTA EULALIA DE RONÇANA,"CARRETERA BARCELONA KM. 10,700",Izquierdo,L-D: 06:00-22:00,41.645000,2.231306,BP SANTA EULALIA DE RONÇANA,"['SP-95 1,839', 'SP-98 1,979', 'G-A 1,979', 'G-A+ 2,069']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA MARGARIDA MONTBUI,"CALLE CORDOBA, 2",Derecho,L-D: 24H,41.579556,1.604667,BALLENOIL,"['SP-95 1,597', 'G-A 1,724', 'G-A+ 1,744']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA MARIA DE CORCO,"CARRETERA VIC-OLOT KM. 15,70",Derecho,L-D: 24H,42.032056,2.362917,AREA CABRERÈS,"['SP-95 1,799', 'G-A+ 1,849', 'Gasóleo B 1,499']",18/11/2022,04/11/2022,Venta al Público
BARCELONA,SANTA MARIA DE MIRALLES,"CARRETERA C-37 KM. 48,500",Izquierdo,L-D: 24H,41.490972,1.513444,PETROMIRALLES,"['G-A 1,779', 'G-A+ 1,809']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA MARIA DE PALAUTORDERA,CARRETERA DEL MONTSENY KM. 3,Izquierdo,L-D: 06:00-22:00,41.686028,2.443667,CEPSA,"['SP-95 1,814', 'SP-98 1,946', 'G-A 1,899', 'G-A+ 1,979']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA MARIA DE PALAUTORDERA,"CR C-35 , P.K. 51",Izquierdo,L-D: 06:00-22:00,41.657444,2.450278,REPSOL,"['SP-95 1,769', 'SP-98 1,929', 'G-A 1,899', 'G-A+ 1,959', 'GLP 1,089']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA MARIA DE PALAUTORDERA,CARRETERA NOVA DE SANT CELONI KM. 40,N,L-D: 24H,41.693556,2.454611,TAMOIL,"['SP-95 1,699', 'SP-98 1,899', 'G-A 1,799', 'G-A+ 1,839']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"POLIGONO CIM VALLÉS, PARCELA 13, SN",Derecho,L-D: 24H,41.539583,2.187111,REPSOL,"['SP-95 1,799', 'SP-98 1,949', 'G-A 1,929', 'G-A+ 1,989', 'Gasóleo B 1,609']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"CALLE CAN VINYALETS, 21",N,L-D: 24H,41.539306,2.165667,SHELL,"['SP-95 1,789', 'SP-98 1,929', 'G-A 1,869', 'G-A+ 1,949', 'GLP 0,999']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"CARRETERA N-152A KM. 15,1",Derecho,L-V: 06:00-22:00; S: 06:00-21:00; D: 07:00-19:00,41.518833,2.195444,CEPSA,"['SP-95 1,839', 'SP-98 1,899', 'G-A 1,929', 'G-A+ 2,009']",18/11/2022,16/11/2022,CERRADA AL PUBLICO GENERAL
BARCELONA,SANTA PERPETUA DE MOGODA,"CARRETERA C-59 KM. 1,5",Izquierdo,L-D: 06:00-22:00,41.535556,2.192833,CEPSA,"['SP-95 1,809', 'SP-98 1,941', 'G-A 1,899', 'G-A+ 1,979']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"CALLE CATALUNYA, 33",Derecho,L-D: 24H,41.544667,2.174472,LOWCOSTFUEL,"['SP-95 1,709', 'G-A 1,849', 'G-A+ 1,899']",18/11/2022,15/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"CALLE GUIFRE EL PILOS, S/N",N,L-D: 24H,41.538806,2.164139,MARINÉ,"['SP-95 1,757', 'G-A 1,917']",18/11/2022,14/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"CARRETERA B-140 KM. 5,5",Izquierdo,L-V: 06:00-22:00,41.534167,2.170000,CEPSA,"['SP-95 1,809', 'G-A 1,899', 'G-A+ 1,979']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,CR AUTOPISTA AP-7  KM 144.1,Derecho,L-D: 24H,41.526417,2.166611,REPSOL,"['SP-95 1,819', 'SP-98 1,969', 'G-A 1,899', 'G-A+ 1,999', 'GLP 1,089']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"AVENIDA TRES, 64",N,L-D: 24H,41.516806,2.193944,ESCLATOIL,"['SP-95 1,679', 'G-A 1,789', 'G-A+ 1,839']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"CALLE LAS PALMAS, S/N",Derecho,L-D: 24H,41.531944,2.193889,REPSOL,"['SP-95 1,809', 'SP-98 1,959', 'G-A 1,919', 'G-A+ 1,979', 'GLP 1,089']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"CALLE GUIFRÉ EL PILÓS, 10",Derecho,L-D: 24H,41.538750,2.164111,MARINÉ,"['Gas N. Compr 1,580', 'Gas N. Licuado 1,390']",18/11/2022,15/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,"AVENIDA MOSSÈN JACINT VERDAGUER, 1",N,L-D: 24H,41.535361,2.183972,BP SANTA PERPETUA,"['SP-95 1,809', 'SP-98 1,951', 'G-A 1,929', 'G-A+ 2,019']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA PERPETUA DE MOGODA,AUTOPISTA AP-7 KM. 144,Izquierdo,L-D: 24H,41.526139,2.168083,CEPSA,"['SP-95 1,824', 'SP-98 1,956', 'G-A 1,915', 'G-A+ 1,995', 'GLP 1,069']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA SUSANNA,"POLIGONO POLÍGONO 1 DE LA RIERA , PARCELAS  FR6-FR7, S/N",N,L-D: 24H,41.635417,2.712333,CARREFOUR,"['SP-95 1,749', 'SP-98 1,929', 'G-A 1,839', 'G-A+ 1,879']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTA SUSANNA,CARRETERA NACIONAL II KM. 671,N,L-D: 06:00-22:00,41.634389,2.706000,GALP,"['SP-95 1,739', 'SP-98 1,879', 'G-A 1,839', 'G-A+ 1,929']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,SANTIGA,"CALLE PARAIRES, 2",N,L-D: 05:00-23:00,41.532778,2.152889,SHELL,"['SP-95 1,819', 'SP-98 1,959', 'G-A 1,919', 'G-A+ 1,999', 'GLP 0,999']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTPEDOR,"ACCESO CTRA, 4",Derecho,L-V: 06:00-22:00,41.779139,1.851972,REPSOL,"['SP-95 1,769', 'SP-98 1,899', 'G-A 1,859', 'G-A+ 1,909']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SANTPEDOR,"RONDA SANT PERE, 331",Derecho,L-D: 24H,41.783556,1.847194,PETRO PINTÓ,"['SP-95 1,645', 'G-A 1,735', 'G-A+ 1,775']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,SENTMENAT,"CARRETERA C-1413A KM. 32,7",Izquierdo,L-D: 06:00-22:00,41.615528,2.137083,REPSOL,"['SP-95 1,779', 'SP-98 1,939', 'G-A 1,869', 'G-A+ 1,929']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SENTMENAT,"CALLE TORRENT D'EN BAIELL, 10",N,L-D: 24H,41.614000,2.144639,GASUIR,"['SP-95 1,759', 'G-A 1,849']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,SENTMENAT,"AVENIDA PRINCIPAL   POLIGONO INDUSTRIAL  CAN CLAPERS, 3",Derecho,L-D: 24H,41.614889,2.138528,NUROIL,"['SP-95 1,689', 'G-A 1,819']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,SERRAT DE L'OCATA,"CR C-17, 26,65",Derecho,L-J: 05:00-23:00; V: 05:00-23:59; S: 00:00-23:59; D: 00:00-23:00,41.664778,2.269667,PETROCAT,"['SP-95 1,779', 'SP-98 1,939', 'G-A 1,879', 'G-A+ 1,939', 'GLP 1,089']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SEVA,"CARRETERA BV-5303 KM. 8,2",N,L-D: 24H,41.834750,2.273111,BLANCA,"['SP-95 1,699', 'G-A 1,889']",18/11/2022,14/11/2022,Venta al Público
BARCELONA,SITGES,"CR C-31, 164,38",Derecho,L-D: 24H,41.238528,1.827417,REPSOL,"['SP-95 1,819', 'SP-98 1,979', 'G-A 1,909', 'G-A+ 1,989', 'GLP 1,099']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SITGES,"EIX 2 PARCELA 12-14 - POL.IND. MAS ALBA,",N,L-D: 24H,41.249222,1.813194,Q8,"['SP-95 1,789', 'SP-98 1,939', 'G-A 1,879', 'G-A+ 1,949']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SITGES,"AVENIDA CAMI PLA, 8",N,L-D: 24H,41.247500,1.812889,NIEVES,"['SP-95 1,789', 'G-A 1,879', 'G-A+ 1,909']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,SUBIRATS,"CALLE LA CREU TRENCADA, 1",Derecho,L-D: 24H,41.426222,1.802556,AMAT OIL,"['SP-95 1,819', 'G-A 1,859']",18/11/2022,17/11/2022,Venta al Público
BARCELONA,SURIA,CARRETERA MANRESA SURIA KM. 14,Izquierdo,L-D: 06:00-22:00,41.827361,1.756083,REPSOL,"['SP-95 1,779', 'SP-98 1,889', 'G-A 1,859', 'G-A+ 1,909']",18/11/2022,18/11/2022,Venta al Público
BARCELONA,SURIA,"PASEO JONCARETS, 149",N,L-D: 24H,41.835667,1.764833,U. S. SÚRIA *ROVIRA*,"['SP-95 1,649', 'G-A 1,829']",18/11/2022,14/11/2022,Venta al Público
BARCELONA,TAGAMANENT,CARRETERA C-17 KM. 37,Derecho,L-D: 06:00-22:00,41.748833,2.262694,PETROCAT,"['SP-95 1,779', 'SP-98 1,939', 'G-A 1,889', 'G-A+ 1,949']",18/11/2022,18/11/2022,Venta al Público
